ticker,price
CFFE,10.32
CFFI,53.76
CFFN,8.3
CFFS,10.0
CFG,40.46
CFG-PD,24.2
CFG-PE,19.37
CFIV,10.01
CFIVU,10.02
CFIVW,0.048
CFLT,24.03
CFMS,1.48
CFR,145.72
CFR-PB,20.47
CFRX,0.152
CFSB,8.69
CG,29.75
CGA,5.525
CGAU,5.22
CGBD,14.15
CGC,4.12
CGEM,12.76
CGEN,0.867
CGNT,3.44
CGNX,51.21
CGRN,1.99
CGTX,1.45
CHAA,9.99
CHCI,4.27
CHCO,98.75
CHCT,34.34
CHD,75.51
CHDN,222.61
CHEA,10.23
CHEF,36.7
CHEK,0.251
CHEKZ,0.021
CHGG,28.9
CHH,121.97
CHK,102.28
CHKEL,83.4
CHKEW,95.64
CHKEZ,84.02
CHKP,129.05
CHMG,46.99
CHMI,6.1
CHMI-PA,21.5
CHMI-PB,20.0
CHNR,0.428
CHPT,13.68
CHRA,0.88
CHRD,164.5
CHRS,7.96
CHRW,97.68
CHS,6.89
CHSCL,26.0
CHSCM,25.07
CHSCN,25.08
CHSCO,26.007
CHSCP,28.75
CHT,34.71
CHTR,392.09
CHUY,33.49
CHWY,42.85
CHX,32.55
CI,305.17
CIA,3.46
CIB,26.04
CIDM,0.54
CIEN,45.72
CIFR,0.994
CIFRW,0.095
CIG,2.0
CIG.C,3.16
CIGI,95.44
CIH,0.82
CIM,6.73
CIM-PA,19.79
CIM-PB,20.17
CIM-PC,18.78
CIM-PD,19.8
CINC,27.02
CINF,106.39
CING,0.988
CINGW,0.262
CINT,7.7
CIO,9.8
CIO-PA,19.95
CION,10.48
CIR,26.84
CISO,3.17
CITE,10.24
CIVB,23.84
CIVI,70.57
CIX,18.35
CIXX,11.35
CIZN,14.05
CJJD,1.71
CKPT,0.755
CKX,10.577
CL,75.32
CLAA,9.98
CLAR,8.72
CLAS,10.0
CLAS.U,10.0
CLAY,10.15
CLB,23.02
CLBK,22.08
CLBR,9.83
CLBR.U,9.84
CLBR.WS,0.044
CLBT,4.95
CLBTW,0.678
CLDT,12.78
CLDT-PA,20.0
CLDX,36.69
CLEU,1.25
CLF,15.42
CLFD,95.63
CLGN,5.72
CLH,111.86
CLIM,10.02
CLIM.U,10.01
CLIN,9.98
CLINR,0.13
CLINW,0.095
CLIR,0.682
CLLS,2.25
CLMB,33.35
CLMT,17.65
CLNE,7.33
CLNN,1.05
CLNNW,0.082
CLOE,10.88
CLOV,1.47
CLPR,7.43
CLPS,1.13
CLPT,10.11
